id,phrase,meaning,category,level,example
223,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'fire'!"
224,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'main character'!"
225,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'savage'!"
226,clap back,clap back 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'clap back'!"
227,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'flex'!"
228,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'get roasted'!"
229,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'spill the tea'!"
230,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'it’s giving'!"
231,clap back,clap back 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'clap back'!"
232,deep cut,deep cut 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'deep cut'!"
233,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'get roasted'!"
234,extra,extra 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'extra'!"
235,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'savage'!"
236,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'in my bag'!"
237,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'highkey'!"
238,periodt,periodt 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'periodt'!"
239,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'catch feels'!"
240,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'highkey'!"
241,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'catch feels'!"
242,bail on someone,bail on someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'bail on someone'!"
243,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,중급,"I heard that and I was like, 'savage'!"
244,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'stan'!"
245,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'read someone'!"
246,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,초급,"I heard that and I was like, 'that’s wild'!"
247,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'highkey'!"
248,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'main character'!"
249,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'spill the tea'!"
250,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'throw shade'!"
251,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'highkey'!"
252,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'highkey'!"
253,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'main character'!"
254,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'salty'!"
255,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'in my bag'!"
256,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'main character'!"
257,lowkey,lowkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'lowkey'!"
258,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'spill the tea'!"
259,deep cut,deep cut 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'deep cut'!"
260,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'we move'!"
261,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'soft launch'!"
262,receipts,receipts 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'receipts'!"
263,bail on someone,bail on someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'bail on someone'!"
264,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'throw shade'!"
265,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'fire'!"
266,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'flex'!"
267,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'hard launch'!"
268,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'spill the tea'!"
269,bench someone,bench someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'bench someone'!"
270,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'stan'!"
271,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'throw shade'!"
272,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'spill the tea'!"
273,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'dead'!"
274,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'hit different'!"
275,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'bet'!"
276,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'fire'!"
277,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'hit different'!"
278,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,고급,"I heard that and I was like, 'in my bag'!"
279,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'hit different'!"
280,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'we move'!"
281,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'vibe check'!"
282,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'that’s wild'!"
283,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'that’s wild'!"
284,dead,dead 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'dead'!"
285,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'salty'!"
286,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'cap'!"
287,woke,woke 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'woke'!"
288,shook,shook 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'shook'!"
289,on point,on point 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'on point'!"
290,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'sus'!"
291,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'no cap'!"
292,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'drag someone'!"
293,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'flex'!"
294,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'no cap'!"
295,that’s wild,that’s wild 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'that’s wild'!"
296,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'flex'!"
297,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'catch feels'!"
298,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,초급,"I heard that and I was like, 'cap'!"
299,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'cap'!"
300,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'salty'!"
301,receipts,receipts 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'receipts'!"
302,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'we move'!"
303,bail on someone,bail on someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'bail on someone'!"
304,main character,main character 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'main character'!"
305,spill the tea,spill the tea 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,초급,"I heard that and I was like, 'spill the tea'!"
306,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'hard launch'!"
307,periodt,periodt 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'periodt'!"
308,cheugy,cheugy 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'cheugy'!"
309,in my bag,in my bag 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'in my bag'!"
310,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'sus'!"
311,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'hit different'!"
312,it’s giving,it’s giving 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'it’s giving'!"
313,hit different,hit different 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'hit different'!"
314,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'salty'!"
315,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'big yikes'!"
316,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,고급,"I heard that and I was like, 'fire'!"
317,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'drag someone'!"
318,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'sus'!"
319,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,고급,"I heard that and I was like, 'slaps'!"
320,fire,fire 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,고급,"I heard that and I was like, 'fire'!"
321,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'sus'!"
322,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'bet'!"
